timestamp,source,inquiry_id,score,failure_tag,why
2026-06-21,cold,live-1,Salvageable,"missing-tool-routing;wrong-gating-question","correct decision/service-mode/voice and no re-asking known details, but operator would edit: add menu link, answer bar ask now (structure + estimator) instead of deferring to after-location, drop the location gate. agent unaware of estimator + menu-link tools that do the fit-test handoff."
2026-06-21,cold,live-2,Stalls,missing-product-knowledge,"draft deferred (check with kitchen, follow up) on an item operator answers on the spot; operator reply gives price + 2 gating questions immediately. holding reply costs a round-trip. agent lacks product fact (mini budino price, a-la-carte dessert is real), so it defers instead of answering."
2026-06-21,recall,live-3,Salvageable,missing-history-lookup,"repeat customer asked for the same setup as a past event; draft parroted same setup as if it can reproduce it, but agent cannot see the prior thread. operator edits to details from last event for your confirmation (retrieve + verify, do not assert sameness). right shape, overclaims on history it lacks."
2026-06-21,cold,live-4,Advances,missing-rule-disclosure,"8-top in-restaurant anniversary dinner. agent correctly read sub-15 = regular dining, full menu, no event machinery, ignored budget-field noise. operator sent near-verbatim, added ONE line: 6+ guests = 1 check + 20% auto-grat. that policy is a confirmed foundation rule the agent is told to state proactively but omitted. lightest edit, round-trip saved."
2026-06-21,recall,live-5,Stalls,missing-date-anchor;spec-gratuity-ambiguity,"9-top Sunday res. draft confirmed 3/28 as future but it is 3 months past today - agent has no today anchor; operator corrected to this upcoming Sunday. draft offloaded to self-serve, operator made the res herself. operator did NOT state 6+ gratuity here though she DID on live-4 - spec says proactive-always, operator behavior contradicts it, so SPEC question not agent miss. primary gap = missing-date-anchor."
2026-06-21,cold,live-6,Advances,advances-conditional-on-human-review;positive-upsell-match;future-needs-calendar-tool,"23-top next-day dinner. ADVANCES under human-review v0: operator ships as-is. absolutely accommodate tomorrow is correct TEAM VOICE not an overclaim - agent has no calendar tool so cannot hedge on availability; the feasibility check is the human, which IS the v0 design. agent independently led with the higher-tier 3-course prix-fixe as an UPSELL ANCHOR over the lower buffet floor - a deliberate operator sales play the agent matched by instinct, NOT in the foundation. CONDITIONAL: same draft would be UNSAFE autonomous until agent has calendar-tool access. decision=qualified accepted given human-review gate."
2026-06-23,recall,live-7,Stalls,missing-product-knowledge;missing-tool-routing,"Poway 23-top Menu #3 offsite, repeat-claim. Draft is a content-free holding reply (follow up shortly with an estimate) - advances nothing toward fit-test, never surfaces the distance/minimum-spend gate that actually decides this offsite row. Costs a round-trip. Correctly avoided asserting history it lacks (dodged live-3 trap) but only by saying nothing."
2026-06-23,cold,live-8,Stalls,missing-product-knowledge;under-routing;needs-calendar-tool,"60-person Dec holiday dinner, Menu #5, open-bar interest. Draft asked onsite-vs-offsite only - a routing question answerable from the inquiry (60ppl = onsite, 2.4) - and stopped. Operator reply went to scratch: confirmed availability, assigned garden patio, affirmed Menu #5 + offered to build quote, offered tasting (60>31), opened drinks by asking history not by fishing for a cap. Draft surfaced none of it. Positives that did NOT save it: held tier-3 (no invented total/cap), did NOT offer plated for Menu#5 at 60 (2.4a cell clean). Calendar-availability + within-band patio assignment are operator-only (no calendar tool, 2.4 in-band is operator judgment) - that part is access-gap not agent miss."
2026-06-23,cold,live-9,Stalls,missing-date-anchor;under-routing;foundation-gap-indoor-policy,"35-adult birthday dinner onsite, 'just exploring', 'frequent guest'. Event-date field 07/10/1961 = form mis-map of a 64th-birthdate. Agent decided needs_info. Draft routed buffet correctly (2.4a clean, 3rd consecutive - did NOT offer plated for 35) but STALLS: operator went to scratch - confirmed headcount as gating Q, attached buffet menu, opened beverages, offered walkthrough; draft did none of that. TWO terrain-gaps where spec is silent: (1) draft offered indoor/outdoor as open choice but business does NOT offer indoor event seating unless asked, caps ~50, high F&B premium - NOT in foundation, owed §2 fix; (2) silently dropped impossible 1961 date instead of flagging - missing-date-anchor, omission-shape, cold instance."
2026-06-23,cold,live-10,Salvageable,tone-register-mismatch;missing-tool-routing,"20-25 patio corporate celebration, 5 specific product Qs, real future date. STRONGEST cold draft yet: agent ANSWERED the product questions instead of deferring (live-2/8 Stall pattern did NOT fire) - draft beer confirmed (TRUE, matches operator), wine-separate-from-cellar, package=consumption-based from both. 2.4a discriminated correctly (offered plated-OR-buffet because 20-25 is the one valid plated band, honored casual lean, kept 3-course upsell). Salvageable not Stalls: operator edited not scratched. NEW FAILURE CLASS: tone-register-mismatch - draft too casual ('vibe') for a big corporate lead; operator recalibrated UP to professional register (same facts, 'style of service', hold-the-date, menu links). Agent runs one voice, does not modulate by lead type though 2.13 says operators do. Also recurring: deferred menu links operator handed now (missing-tool-routing, live-1)."
2026-06-23,cold,live-11,Stalls,tier1-underdisclosure;merge-field-leak;missing-tool-routing,"40-guest baby shower OFFSITE lunch, explicit \-3K, real future date. Danger cell behaved (routed offsite/buffet, did NOT offer onsite-only estimator). STALLS: agent deferred to 'follow up with an estimate'; operator reply went to scratch and supplied the ENTIRE Tier-1 quote-freely block - equipment \ vs disposable, service staff \/4hr, delivery from \ local, 5% catering fee, menu link w/ pricing + estimate-on-lock. KEY: every item operator added is Tier-1 quote-freely-unprompted per 2.8 - agent had the facts and withheld them, treating all as withhold-until-lock. tier1-underdisclosure, sharper than generic missing-product-knowledge: agent lacks the WHEN-to-volunteer rule, not the facts. Recurring: menu-link handoff deferred (live-1/9); merge-field-leak 'Hi [First name]' still present (human catches it)."
